Jaartal,Postcode,"Nederlandse
achtergond","Westerse
migratie
achtergrond","Niet-westerse
migratie
achtergrond"
2018,3011,50,20,30
2018,3012,40,20,40
2018,3013,40,20,40
2018,3014,20,10,60
2018,3015,60,10,30
2018,3016,60,20,20
2018,3021,40,20,40
2018,3022,30,10,50
2018,3023,30,10,60
2018,3024,50,10,40
2018,3025,20,10,70
2018,3026,20,10,70
2018,3027,20,10,70
2018,3028,30,20,40
2018,3029,10,10,80
2018,3031,40,10,40
2018,3032,40,10,50
2018,3033,40,10,40
2018,3034,40,10,50
2018,3035,40,10,50
2018,3036,30,10,60
2018,3037,50,10,30
2018,3038,60,20,30
2018,3039,70,20,10
2018,3042,50,10,40
2018,3043,70,10,20
2018,3045,70,10,20
2018,3046,90,10,0
2018,3051,80,10,10
2018,3052,50,10,40
2018,3053,70,10,20
2018,3054,70,10,20
2018,3055,80,10,10
2018,3056,70,10,20
2018,3059,70,10,20
2018,3061,50,10,40
2018,3062,60,20,10
2018,3063,50,20,30
2018,3064,80,10,10
2018,3065,70,10,20
2018,3066,60,10,30
2018,3067,60,10,30
2018,3068,60,10,30
2018,3069,70,10,20
2018,3071,30,10,60
2018,3072,30,10,60
2018,3073,20,10,60
2018,3074,20,10,70
2018,3075,60,10,30
2018,3076,40,10,50
2018,3077,50,10,40
2018,3078,60,10,30
2018,3079,50,10,40
2018,3081,20,20,60
2018,3082,40,20,40
2018,3083,30,20,40
2018,3084,70,10,20
2018,3085,40,10,50
2018,3086,30,10,60
2018,3087,40,10,60
2018,3089,60,10,20
2018,3111,60,20,20
2018,3112,40,20,40
2018,3114,70,10,20
2018,3116,80,10,10
2018,3117,60,20,20
2018,3118,30,10,60
2018,3119,30,10,60
2018,3121,80,10,10
2018,3122,60,10,30
2018,3123,80,10,10
2018,3124,80,10,10
2018,3125,90,10,10
2018,3131,70,10,20
2018,3132,60,10,30
2018,3133,90,10,10
2018,3134,70,10,20
2018,3135,70,10,20
2018,3136,70,10,20
2018,3137,80,10,10
2018,3141,70,10,20
2018,3142,70,10,20
2018,3143,80,10,10
2018,3144,70,10,20
2018,3145,70,10,20
2018,3146,80,10,10
2018,3151,90,10,10
2018,3155,90,10,0
2018,3161,80,10,10
2018,3162,70,10,20
2018,3171,80,10,10
2018,3172,70,10,20
2018,3176,80,10,10
2018,3181,80,10,10
2018,3191,70,10,20
2018,3192,60,10,30
2018,3193,50,10,40
2018,3194,50,10,40
2018,3195,80,10,10
2018,3201,70,10,20
2018,3202,70,10,20
2018,3203,70,10,20
2018,3204,70,10,20
2018,3205,70,10,20
2018,3206,70,10,20
2018,3207,80,10,10
2018,3208,80,10,10
2018,3209,90,10,0
2018,3211,90,10,0
2018,3212,90,10,0
2018,3214,90,0,0
2018,3216,90,10,0
2018,3218,90,10,0
2018,3221,80,10,10
2018,3222,70,10,20
2018,3223,90,10,0
2018,3224,80,10,10
2018,3225,80,10,10
2018,3227,90,10,0
2018,3231,90,10,0
2018,3232,90,10,10
2018,3233,90,10,0
2018,3234,90,10,0
2018,3235,90,10,0
2018,3237,90,10,0
2018,3238,90,10,0
2018,3241,90,0,0
2018,3243,90,0,0
2018,3244,90,0,0
2018,3245,90,0,0
2018,3247,100,0,0
2018,3248,90,0,0
2018,3249,90,0,0
2018,3251,90,0,0
2018,3252,90,0,0
2018,3253,100,0,0
2018,3255,90,10,0
2018,3256,90,0,0
2018,3257,90,10,0
2018,3258,90,0,0
2018,3261,90,10,0
2018,3262,90,10,0
2018,3263,90,10,0
2018,3264,90,0,0
2018,3265,90,10,0
2018,3267,90,0,0
2018,3271,90,10,0
2018,3273,90,10,0
2018,3274,90,0,0
2018,3281,90,0,0
2018,3284,90,0,0
2018,3286,90,0,0
2018,3291,90,0,0
2018,3292,90,0,0
2018,3293,90,0,0
2018,3295,90,0,0
2018,3297,90,0,0
2018,3299,90,0,0
2018,3311,70,10,20
2018,3312,70,10,20
2018,3313,60,20,20
2018,3314,60,10,30
2018,3315,80,10,10
2018,3316,90,10,10
2018,3317,60,10,30
2018,3318,70,10,20
2018,3319,90,10,0
2018,3328,80,10,10
2018,3329,90,10,10
2018,3331,70,10,20
2018,3332,80,10,10
2018,3333,70,10,20
2018,3334,80,10,10
2018,3335,90,10,10
2018,3341,90,10,10
2018,3342,90,10,10
2018,3343,90,10,10
2018,3344,80,10,10
2018,3351,80,10,10
2018,3352,80,10,10
2018,3353,70,10,20
2018,3354,90,10,10
2018,3355,90,10,10
2018,3356,80,10,10
2018,3361,90,0,0
2018,3362,80,10,10
2018,3363,90,0,10
2018,3366,100,0,0
2018,3371,90,0,0
2018,3372,90,0,0
2018,3373,90,0,0
2018,3381,90,0,0
2018,3401,90,10,10
2018,3402,70,10,20
2018,3403,90,10,0
2018,3404,80,10,10
2018,3405,90,0,0
2018,3411,90,0,10
2018,3412,90,10,0
2018,3413,90,0,0
2018,3415,100,0,0
2018,3417,90,10,0
2018,3421,90,0,0
2018,3425,100,0,0
2018,3431,60,10,20
2018,3432,70,10,20
2018,3433,90,10,10
2018,3434,80,10,10
2018,3435,80,10,10
2018,3436,70,10,20
2018,3437,80,10,10
2018,3438,70,10,20
2018,3439,70,10,20
2018,3441,80,10,10
2018,3442,80,10,10
2018,3443,80,10,10
2018,3445,80,10,10
2018,3446,90,10,10
2018,3448,80,10,10
2018,3449,90,10,0
2018,3451,80,10,10
2018,3452,70,10,20
2018,3453,70,10,20
2018,3454,80,10,10
2018,3455,90,10,0
2018,3461,90,0,10
2018,3464,100,0,0
2018,3465,90,0,0
2018,3466,90,0,0
2018,3467,90,10,0
2018,3471,90,0,0
2018,3474,90,0,0
2018,3481,90,10,0
2018,3511,70,20,10
2018,3512,70,20,10
2018,3513,70,10,20
2018,3514,80,10,10
2018,3515,70,10,20
2018,3521,70,10,20
2018,3522,70,10,20
2018,3523,70,10,20
2018,3524,70,10,20
2018,3525,60,10,30
2018,3526,40,10,50
2018,3527,40,10,50
2018,3531,60,10,20
2018,3532,70,10,20
2018,3533,70,10,20
2018,3534,80,10,10
2018,3541,60,10,30
2018,3543,60,10,30
2018,3544,60,10,30
2018,3551,70,10,20
2018,3552,70,10,20
2018,3553,70,10,10
2018,3554,60,10,30
2018,3555,60,10,30
2018,3561,40,10,50
2018,3562,40,10,50
2018,3563,50,10,40
2018,3564,40,10,60
2018,3566,90,10,10
2018,3571,80,10,10
2018,3572,80,10,10
2018,3573,80,10,10
2018,3581,80,20,10
2018,3582,80,10,10
2018,3583,80,10,10
2018,3584,60,30,10
2018,3601,80,10,10
2018,3602,90,10,0
2018,3603,90,10,0
2018,3604,90,10,10
2018,3605,70,10,20
2018,3607,80,10,10
2018,3608,80,10,10
2018,3611,90,10,0
2018,3612,90,10,0
2018,3615,90,0,0
2018,3621,80,10,10
2018,3626,90,0,0
2018,3628,90,10,0
2018,3631,80,10,10
2018,3632,80,10,10
2018,3633,90,10,10
2018,3634,90,10,0
2018,3641,80,10,10
2018,3642,80,10,10
2018,3643,90,10,10
2018,3645,90,10,10
2018,3646,90,10,0
2018,3648,90,10,10
2018,3652,90,10,0
2018,3701,80,10,10
2018,3702,80,10,10
2018,3703,70,10,20
2018,3704,70,10,20
2018,3705,80,10,10
2018,3706,50,10,40
2018,3707,80,10,10
2018,3708,80,10,10
2018,3709,80,20,0
2018,3711,90,10,0
2018,3712,80,10,10
2018,3721,80,10,10
2018,3722,80,10,10
2018,3723,80,10,10
2018,3731,80,10,10
2018,3732,80,10,10
2018,3734,80,10,10
2018,3735,80,10,0
2018,3737,90,10,0
2018,3738,90,10,0
2018,3739,80,10,0
2018,3741,80,10,10
2018,3742,80,10,10
2018,3743,80,10,0
2018,3744,80,10,0
2018,3749,90,10,0
2018,3751,90,10,0
2018,3752,90,10,10
2018,3754,100,0,0
2018,3755,90,10,10
2018,3761,90,10,0
2018,3762,80,10,10
2018,3763,80,10,10
2018,3764,70,10,20
2018,3765,60,10,30
2018,3766,80,10,10
2018,3768,90,10,0
2018,3769,80,10,10
2018,3771,90,0,0
2018,3772,90,10,10
2018,3773,90,0,0
2018,3774,100,0,0
2018,3776,100,0,0
2018,3781,90,0,0
2018,3784,90,0,0
2018,3785,100,0,0
2018,3791,90,0,0
2018,3794,90,10,10
2018,3811,80,10,10
2018,3812,80,10,10
2018,3813,70,10,20
2018,3814,50,10,40
2018,3815,60,10,30
2018,3816,60,10,30
2018,3817,80,10,10
2018,3818,80,10,10
2018,3821,80,10,10
2018,3822,80,10,10
2018,3823,80,10,10
2018,3824,80,10,10
2018,3825,80,10,20
2018,3826,70,10,20
2018,3828,90,10,0
2018,3829,80,10,10
2018,3831,90,10,10
2018,3832,90,10,0
2018,3833,80,10,10
2018,3834,90,10,10
2018,3835,90,0,0
2018,3841,80,10,10
2018,3842,70,10,20
2018,3843,70,10,20
2018,3844,80,10,10
2018,3845,90,10,10
2018,3846,80,10,10
2018,3847,90,10,0
2018,3848,90,10,10
2018,3849,90,10,0
2018,3851,90,10,0
2018,3852,90,10,0
2018,3853,90,10,10
2018,3861,90,10,10
2018,3862,90,10,10
2018,3863,90,10,10
2018,3864,90,0,0
2018,3871,90,10,0
2018,3881,90,0,0
2018,3882,90,0,0
2018,3886,100,0,0
2018,3888,90,10,0
2018,3891,80,10,10
2018,3892,80,10,10
2018,3893,90,10,10
2018,3894,80,10,10
2018,3896,90,10,0
2018,3897,40,50,20
2018,3901,70,10,20
2018,3902,80,10,10
2018,3903,90,10,10
2018,3904,80,10,10
2018,3905,80,10,10
2018,3906,90,10,0
2018,3907,80,0,20
2018,3911,90,10,10
2018,3912,90,10,0
2018,3921,90,0,0
2018,3922,90,0,0
2018,3925,90,0,0
2018,3927,90,0,0
2018,3931,90,0,10
2018,3941,90,10,10
2018,3945,90,0,0
2018,3947,90,0,0
2018,3951,90,10,0
2018,3953,90,10,0
2018,3956,80,10,10
2018,3958,90,10,0
2018,3959,90,0,0
2018,3961,90,10,10
2018,3962,90,10,10
2018,3971,90,10,0
2018,3972,80,10,10
2018,3981,90,10,10
2018,3984,90,10,10
2018,3985,90,10,0
2018,3991,90,10,10
2018,3992,90,10,10
2018,3993,80,10,10
2018,3994,80,10,10
2018,3995,80,10,20
2018,3997,90,0,0
2018,3998,90,0,0
