Jaartal,Postcode,Wijk
2021,3011,Centrum
2021,3012,Centrum
2021,3013,Centrum
2021,3014,Centrum
2021,3015,Centrum
2021,3016,Centrum
2021,3032,Centrum
2021,3021,Delfshaven
2021,3022,Delfshaven
2021,3023,Delfshaven
2021,3024,Delfshaven
2021,3025,Delfshaven
2021,3026,Delfshaven
2021,3027,Delfshaven
2021,3028,Delfshaven
2021,3029,Delfshaven
2021,3042,Overschie
2021,3043,Overschie
2021,3044,Overschie
2021,3045,Overschie
2021,3046,Overschie
2021,3047,Overschie
2021,3032,Noord
2021,3033,Noord
2021,3035,Noord
2021,3036,Noord
2021,3037,Noord
2021,3038,Noord
2021,3039,Noord
2021,3041,Noord
2021,3045,Noord
2021,3045,Hillegersberg-Schiebroek
2021,3051,Hillegersberg-Schiebroek
2021,3052,Hillegersberg-Schiebroek
2021,3053,Hillegersberg-Schiebroek
2021,3054,Hillegersberg-Schiebroek
2021,3055,Hillegersberg-Schiebroek
2021,3056,Hillegersberg-Schiebroek
2021,3061,Hillegersberg-Schiebroek
2021,3031,Kralingen-Crooswijk
2021,3034,Kralingen-Crooswijk
2021,3061,Kralingen-Crooswijk
2021,3062,Kralingen-Crooswijk
2021,3063,Kralingen-Crooswijk
2021,3071,Feijenoord
2021,3072,Feijenoord
2021,3073,Feijenoord
2021,3074,Feijenoord
2021,3075,Feijenoord
2021,3083,Feijenoord
2021,3081,Charlois
2021,3082,Charlois
2021,3083,Charlois
2021,3084,Charlois
2021,3085,Charlois
2021,3086,Charlois
2021,3087,Charlois
2021,3088,Charlois
2021,3089,Charlois
2021,3044,Spaanse Polder
2021,3029,Nieuw Mathenesse
2021,3087,Waalhaven
2021,3088,Waalhaven
2021,3089,Waalhaven
2021,3047,Noord
2021,3065,Rivium
2021,3071,IJsselmonde
2021,3076,IJsselmonde
2021,3077,IJsselmonde
2021,3078,IJsselmonde
2021,3079,IJsselmonde
2021,3067,Prins Alexander
2021,3195,Pernis
