bc2021,bc_naam,gini_inc_st,median_inc,avg_inc,totalhh,sh_housow1,abs_housow1,sh_housow2,abs_housow2,sh_housow3,abs_housow3,sh_housow8,abs_housow8,sh_housow9,abs_housow9,avg_welfare,sh_welf1,abs_welf1,sh_welf2,abs_welf2,sh_welf3,abs_welf3,sh_welf4,abs_welf4,sh_welf5,abs_welf5,simp_educ,totaleduc,sh_educ1,abs_educ1,sh_educ3,abs_educ3,sh_educ4,abs_educ4,sh_educ5,abs_educ5,sh_educ6,abs_educ6,sh_recent,totalmig,abs_recent,sh_stat1,abs_stat1,sh_stat2,abs_stat2,sh_stat3,abs_stat3,sh_stat4,abs_stat4,sh_stat5,abs_stat5,simp_motive,totalpop,totalmigmot,simp_conbirth,N_conbirth,forborn_sh,forbornbur,NLbornbur,NLbornbur,total_buurt
Buurtcode 2021,BC_NAAM,income inequality gini idx,average standardised income hh,average standardised income hh,number of households in buurt,"houseowners, %","houseowners, abs. hh","rental house, %","rental house, abs. hh","subsidised rental, %","subsidied renatl, abs.","institutional hh, %","institutional hh, abs","unknown, %","unknown, abs",average % of welfare dependency,"independent from welfare,%",(mean) abs_welf1,"minor welfare dependency, %",(mean) abs_welf2,"partial welfare dependency, %",(mean) abs_welf3,"mainly dependent on welfare, %",(mean) abs_welf4,"complete welfare dependency, %",(mean) abs_welf5,gini-simpson index of diversity of highest acheived educational levels,total est. number of people above 24y.o. in buurt with known educ info,"basis&low practical educ, %","basis&low practical educ, abs n","middelbar educ, %","middelbar educ, abs n","hoog middelbar educ, %","hoog middelbar educ, abs n","hoog educ, %","hoog educ, abs n","zeer hoog educ, %","zeer hoog educ, abs n",percentage of recent migrants of all residents,abs. n of foreign-born in the neighbourhood,abs. n of recent migrants,"family migr , %","family migr , abs","work migr, %","work migr, abs","study migr, %","study migr, abs","asylum migr, %","asylum migr, abs","other migr, %","other migr, abs",diveristy of migration motives/types,total residents in buurt,total of migrant with known mig motives,gini-simpson indx of counties of birth,number of various countries of births p buurt,share of foreign-born in buurt,absolute number of foreign born in buurt,share of Dutch-born in buurt,abs. n of Dutch-born in buurt,abs. n of people in buurt
,,Income Inequality,Average Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,higher education,,,,,,,Family Migration Motive (Reason of migration),,,,,,,,,,Index number for number of different migration types,,,Gini-simpson indx of countries of birth. Chance of going outside and meeting someone with a different migration background. Will be explained in text.,,,,,,Duplicate of totalpop
,,Income Inequality in Dutch,Average Income in Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corresponds to bu_code without prefix,,"""Income Inequality"" Include in map",Include in map (both),Include in map (both),Include in traditional map only. Context information.,Include in map (both),Ignore,Include in map (both),Ignore,Include in map (both),Ignore,Include in map (both),Ignore,Ignore,Ignore,Include in map (both). Angelique will double check.,Include in map (both). Angelique will double check.,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Ignore,Include in map (both).,Include in traditional map only. Context information.,Ignore,Include in map (both).,Include in traditional map only. Context information.,Include in traditional map only. Context information.,Ignore,Include in traditional map only. Context information.,Ignore,
,,Income,Income,Income,Housing,Housing,Housing,Housing,Housing,Housing,Housing,Housing,Housing,,,Welfare,Welfare,,Welfare,,Welfare,,Welfare,,Welfare,,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Diversity,Context,,Diversity,Context,Diversity,,Diversity,,
5991444,'s-Gravenland,0.371,"€ 34,131.00","€ 42,449.18",3577,0.55,1981,0.35,1237,0.10,353,n/a,n/a,n/a,n/a,5,0.89,3164,0.04,157,0.03,96,0.02,59,0.02,60,0.74,5559,0.06,319,0.30,1686,0.09,481,0.26,1438,0.29,1635,0.01,1402,103,0.52,247,0.16,78,0.14,67,0.10,46,0.08,36,0.67,8298,474,0.31,102,0.17,1402,0.83,6896,8298
5991086,Afrikaanderwijk,0.256,"€ 17,971.00","€ 20,780.19",3704,0.13,480,0.40,1468,0.45,1672,0.02,79,n/a,n/a,22,0.62,2226,0.07,244,0.12,419,0.06,221,0.13,461,0.67,5581,0.27,1528,0.48,2669,0.06,352,0.14,756,0.05,276,0.02,3942,194,0.64,682,0.07,79,0.06,60,0.16,171,0.07,73,0.55,8275,1065,0.69,128,0.48,3942,0.52,4333,8275
5990515,Agniesebuurt,0.312,"€ 19,771.00","€ 22,984.61",2285,0.18,401,0.42,970,0.35,796,0.05,117,n/a,n/a,17,0.73,1563,0.05,117,0.07,146,0.04,85,0.11,230,0.70,3253,0.16,519,0.48,1561,0.06,197,0.16,510,0.14,466,0.04,1612,170,0.47,239,0.14,70,0.14,71,0.18,94,0.07,38,0.70,4223,512,0.61,119,0.38,1612,0.62,2611,4223
5992459,Bedrijvenpark Noord-West,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,n/a,n/a
5990531,Bergpolder,0.283,"€ 25,156.50","€ 26,483.25",4983,0.30,1500,0.49,2450,0.20,998,0.01,27,n/a,n/a,10,0.83,4071,0.04,191,0.04,200,0.02,108,0.06,307,0.75,6663,0.09,572,0.28,1868,0.08,509,0.26,1735,0.30,1979,0.05,2071,439,0.38,342,0.23,203,0.20,184,0.10,88,0.09,84,0.75,8195,901,0.44,138,0.25,2071,0.75,6124,8195
5991290,Beverwaard,0.235,"€ 22,950.00","€ 24,802.29",5160,0.39,2029,0.27,1371,0.31,1586,0.03,163,0.00,11,16,0.70,3479,0.08,392,0.09,425,0.05,253,0.08,400,0.56,7671,0.19,1475,0.62,4785,0.06,435,0.09,721,0.03,254,0.04,4262,440,0.53,752,0.07,102,0.04,53,0.28,393,0.08,118,0.63,12267,1418,0.56,149,0.35,4262,0.65,8005,12267
5990532,Blijdorp,0.289,"€ 30,358.50","€ 32,166.28",5939,0.51,3027,0.38,2273,0.10,566,0.01,70,n/a,n/a,5,0.91,5273,0.03,199,0.02,119,0.01,63,0.03,151,0.73,7837,0.06,446,0.21,1662,0.07,551,0.30,2337,0.36,2841,0.05,1958,492,0.38,388,0.31,312,0.21,209,0.03,33,0.07,70,0.71,10445,1012,0.34,134,0.19,1958,0.81,8487,10445
5990558,Blijdorpsepolder,0.477,"€ 12,323.00","€ 17,248.19",103,0.16,16,0.18,19,n/a,n/a,0.60,62,n/a,n/a,35,0.54,20,n/a,n/a,n/a,n/a,n/a,n/a,0.27,10,0.60,104,0.29,30,0.56,58,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,171,n/a,0.57,21,0.36,61,0.64,110,171
5991081,Bloemhof,0.242,"€ 18,718.00","€ 20,566.65",6454,0.18,1156,0.39,2535,0.41,2624,0.02,111,0.00,28,21,0.65,4063,0.08,492,0.09,547,0.06,395,0.12,727,0.64,8827,0.30,2658,0.50,4449,0.05,445,0.11,997,0.03,277,0.05,6335,701,0.60,1422,0.13,299,0.08,194,0.09,205,0.10,245,0.60,14243,2365,0.67,150,0.44,6335,0.56,7908,14243
5990321,Bospolder,0.273,"€ 18,864.50","€ 21,453.85",3347,0.17,553,0.42,1394,0.41,1361,0.01,33,n/a,n/a,22,0.64,2094,0.07,222,0.10,314,0.07,221,0.13,408,0.70,4490,0.30,1358,0.43,1912,0.06,283,0.11,515,0.09,423,0.04,3259,305,0.57,580,0.12,121,0.11,109,0.13,128,0.07,74,0.62,7118,1012,0.68,125,0.46,3259,0.54,3859,7118
5991572,Carnisse,0.242,"€ 21,810.00","€ 22,804.33",5955,0.35,2068,0.40,2386,0.24,1427,0.01,53,0.00,21,14,0.75,4330,0.08,441,0.06,371,0.04,227,0.07,403,0.66,6741,0.16,1108,0.52,3478,0.09,602,0.18,1203,0.05,350,0.11,5575,1320,0.52,1541,0.22,645,0.08,246,0.05,160,0.13,385,0.66,11747,2977,0.71,166,0.47,5575,0.53,6172,11747
5991570,Charlois Zuidrand,0.504,"€ 18,060.50","€ 30,984.90",276,0.36,99,0.11,29,n/a,n/a,0.51,142,n/a,n/a,7,0.83,109,0.09,12,n/a,n/a,n/a,n/a,n/a,n/a,0.75,317,0.32,101,0.33,105,0.13,41,0.14,44,0.08,26,0.01,56,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.69,450,11,0.23,21,0.12,56,0.88,394,450
5990112,Cool,0.332,"€ 26,862.00","€ 30,145.77",3286,0.21,679,0.60,1957,0.17,552,0.03,97,n/a,n/a,7,0.88,2730,0.03,98,0.03,86,0.02,66,0.04,126,0.75,3796,0.08,298,0.26,983,0.08,295,0.28,1048,0.31,1171,0.08,2152,469,0.35,313,0.31,281,0.19,172,0.07,63,0.08,73,0.73,5654,902,0.61,133,0.38,2152,0.62,3502,5654
5990113,Cs Kwartier,0.307,"€ 33,062.00","€ 33,825.27",607,0.43,258,0.48,294,0.09,54,n/a,n/a,n/a,n/a,4,0.93,548,0.03,17,n/a,n/a,n/a,n/a,0.02,12,0.72,498,0.02,12,0.24,119,0.09,44,0.31,152,0.34,171,0.13,420,131,0.41,108,0.31,81,0.20,54,n/a,n/a,0.05,13,0.69,1030,264,0.64,78,0.41,420,0.59,610,1030
5990845,De Esch,0.301,"€ 23,182.00","€ 26,127.85",2649,0.21,561,0.47,1233,0.32,848,n/a,n/a,n/a,n/a,13,0.79,2025,0.04,111,0.05,135,0.03,90,0.08,214,0.73,3517,0.11,389,0.43,1513,0.09,329,0.21,726,0.16,560,0.04,1415,184,0.41,191,0.10,45,0.23,108,0.16,74,0.11,51,0.74,4620,469,0.51,119,0.31,1415,0.69,3205,4620
5990320,Delfshaven,0.332,"€ 19,073.00","€ 21,521.04",4035,0.17,674,0.43,1730,0.35,1419,0.05,207,n/a,n/a,15,0.76,2834,0.05,194,0.05,197,0.04,158,0.10,362,0.76,4540,0.17,760,0.35,1600,0.09,424,0.21,935,0.18,821,0.04,2619,304,0.43,377,0.14,123,0.17,152,0.15,135,0.10,87,0.73,7160,874,0.59,132,0.37,2619,0.63,4541,7160
