bc2021,bc_naam,mbc,mbc_code,pDiscr,gini_inc_st,avg_inc,sh_housow1,sh_housow3,simp_educ,simp_motive,simp_conbirth,median_inc,totalhh,sh_housow2,sh_housow8,avg_welfare,sh_welf1,sh_welf2,sh_welf3,sh_welf4,sh_welf5,sh_educ1,sh_educ3,sh_educ4,sh_educ5,sh_educ6,sh_recent,sh_stat1,sh_stat2,sh_stat3,sh_stat4,sh_stat5,totalpop,N_conbirth,forborn_sh,NLbornbur,abs_disrep,gini_inc_st_norm,avg_inc_norm,sh_housow1_norm,sh_housow3_norm,simp_educ_norm,simp_motive_norm,simp_conbirth_norm,pDiscr_norm
English,,,,Percent discriminated,Income inequality Index,Average income,Houseowners %,Subsidised rental %,Educational inequality index,Diversity of migration motive,Diversity index country of birth,Most common income,Number of households,Rental house %,Institutional housing %,Average of welfare dependency,Independent from welfare %,Minor welfare dependency %,Partial welfare dependency %,Mainly dependent on welfare %,Complete welfare dependency %,Basis practical education %,Middle level education %,Middle high education %,High education %,Very high education %,Recent migrants %,Family migrants %,Work migrants %,Study migrants %,Asylum migrants %,Other migrants %,Total Residents,Number of various countries of births in buurt,Share of foreign-born in buurt %,Number of Dutch-born in buurt,Number of discrimination reports,Income inequality Index (Normalized),Average income (Normalized),Houseowners (Normalized),Subsidised rental (Normalized),Educational inequality index (Normalized),Diversity of migration motive (Normalized),Diversity index country of birth (Normalized),Percent discrimination (Normalized)
Dutch,,,,Percent discriminated,Inkomen ongelijkheid index,Gemiddelde inkomen,Huiseigenaren,Sociale huurwoningen,Opleidingsongelijkheid index,Migratie motief diversiteit,Geboorteland diversiteits index,Meest voorkomende inkomen,Aantal huishoudens,Huurhuizen,Mensen woonachtig in instituut,Gemiddeld afhankelijk van sociale voorzieningen,Onafhankelijk van sociale voorzieningen,Voor een klein deel afhankelijk van sociale voorzieningen,Deels afhankelijk van sociale voorzieningen,Voornamelijk afhankelijk van sociale voorzieningen,Compleetafhankelijk van sociale voorzieningen,Basis opleiding,Middelbaaronderwijs,Hoogmiddelbaar onderwijs,Hoog opgeleid,Zeer hoog opgeleid,Recent gearriveerde migranten,Familie migranten,Arbeids migranten,Studiegerelateerde migranten,Asielzoekers,Overige migranten,Totale inwoners,,,,Aantal discriminatie meldingen,Inkomen ongelijkheid index,Gemiddelde inkomen,Huiseigenaren,Sociale huurwoningen,Opleidingsongelijkheid index,Migratie motief diversiteit,Geboorteland diversiteits index,Percent discrimination
Inequality map (intersectional),,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Traditional map,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (Context information),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (context information),Yes (context information),Yes,Yes (context information),Yes,No,No,No,No,No,No,No,No
Dimension English,Neighboorhood,Neighborhood merged,Neighborhood merged code,Discrimination,Income,Income,Housing,Housing,Education,Migration Diversity,Migration Diversity,Income,Context,Housing,Housing,Economic independency,Economic independency,Economic independency,Economic independency,Economic independency,Economic independency,Education,Education,Education,Education,Education,Migration diversity,Migration diversity,Migration diversity,Migration diversity,Migration diversity,Migration diversity,Context,Migration diversity,Migration diversity,Migration diversity,Discrimination reports,Income,Income,Housing,Housing,Education,Migration Diversity,Migration Diversity,Percent Discrimination
Dimensie Dutch,Buurt,,,Discriminatie,Inkomen,Inkomen,Huisvesting,Huisvesting,Opleidingsniveau,Migratie Diversiteit,Migratie Diversiteit,Inkomen,Context,Huisvesting,Huisvesting,Economische zelfstandigheid,Economische zelfstandigheid,Economische zelfstandigheid,Economische zelfstandigheid,Economische zelfstandigheid,Economische zelfstandigheid,Opleidingsniveau,Opleidingsniveau,Opleidingsniveau,Opleidingsniveau,Opleidingsniveau,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Migratie diversiteit,Discriminatie meldingen,Inkomen,Inkomen,Huisvesting,Huisvesting,Opleidingsniveau,Migratie Diversiteit,Migratie Diversiteit,Procent met discriminatie-ervaring
5991444,s-Gravenland,s-Gravenland,1,0.11,0.371,42449.18,0.55,0.1,0.74,0.67,0.31,34131,3577,0.35,NA,5,0.89,0.04,0.03,0.02,0.02,0.06,0.3,0.09,0.26,0.29,0.01,0.52,0.16,0.14,0.1,0.08,8298,102,0.17,6896,17,2,3,2,1,2,2,2,2
5991086,Afrikaanderwijk,Afrikaanderwijk,1,0.23,0.256,20780.19,0.13,0.45,0.67,0.55,0.69,17971,3704,0.4,0.02,22,0.62,0.07,0.12,0.06,0.13,0.27,0.48,0.06,0.14,0.05,0.02,0.64,0.07,0.06,0.16,0.07,8275,128,0.48,4333,20,2,1,1,3,2,1,3,3
5990515,Agniesebuurt,Agniesebuurt,1,0.21,0.312,22984.61,0.18,0.35,0.7,0.7,0.61,19771,2285,0.42,0.05,17,0.73,0.05,0.07,0.04,0.11,0.16,0.48,0.06,0.16,0.14,0.04,0.47,0.14,0.14,0.18,0.07,4223,119,0.38,2611,15,2,2,2,2,2,2,2,3
5992459,Bedrijvenpark Noord-West,Bedrijvenpark Noord-West,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
